airbnb_property_id,rating,bathrooms,title,occ,bedrooms,accommodates,adr,revenue,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,property_type,id,room_type,platforms__airbnb_property_id,platforms__homeaway_property_id,listings_returned,area_info__geom__|,area_info__geom__|__country,area_info__geom__|__state,area_info__geom__|__city
27558458,8.8,2,Fully furnished 2 bed and 2 bath . Easily fit 6.,0.482143,2,6,104.473,8462.3,12,null,-122.80564,49.06674,null,Guest suite,10624869,Entire home/apt,27558458,null,,,,,
31799525,null,1,Boutique Carriage House Studio in Morgan Creek,0.1,0,2,158.157,474.471,0,null,-122.78203,49.06769,null,Guesthouse,12293377,Entire home/apt,31799525,null,,,,,
3228019,9.5,1,2 Bedroom-Fully Furnished Basement ,0.542751,2,6,84.7257,12370,28,null,-122.83261,49.16162,575644vb,House,1134553,Entire home/apt,3228019,575644vb,,,,,
28470182,7.2,2,Family Vacation Single House in WR/South Surrey,0.725664,3,6,149.817,12285,5,null,-122.8565,49.03161,null,House,11879481,Entire home/apt,28470182,null,,,,,
31295290,10,1,____,0.857143,1,2,50.5606,5157.18,4,null,-122.83035,49.15585,null,House,12091464,Entire home/apt,31295290,null,,,,,
20507232,9.8,1,An Experience living In The Sky,0.9163,1,3,141.902,29515.6,80,null,-122.88937,49.14764,null,Apartment,7127024,Entire home/apt,20507232,null,,,,,
18876363,9.6,1,Best deal in town!,0.723077,0,2,67.418,12674.6,54,null,-122.80647,49.11181,null,Apartment,6202257,Entire home/apt,18876363,null,,,,,
22574937,9.4,3.5,Beautiful & Spacious Surrey Home,0.559557,4,12,320.921,64826,33,null,-122.80166,49.15119,1250060vb,House,8222944,Entire home/apt,22574937,1250060vb,,,,,
25057645,9,1,"2 bedroom-suite, own entrance, Surrey Guildford",0.925926,2,6,62.7596,1568.99,4,null,-122.80785,49.17801,null,House,9486716,Entire home/apt,25057645,null,,,,,
21029272,9.9,1,Charming 2-Bedroom Suite with own Entrance/Suite-L,0.58209,2,4,71.3366,5564.25,17,null,-122.81218,49.12886,null,House,7504167,Entire home/apt,21029272,null,,,,,
25126237,9.9,1,Relax and Rejuvanate at a Cozy Modern Retreat by the Seaside,0.662116,1,4,158.444,30738.2,86,null,-122.88352,49.05319,null,Guesthouse,9660875,Entire home/apt,25126237,null,,,,,
101899283,8,1,Apartment with balcony with great amenities ,0.516279,1,4,152.996,16982.6,1,1195985vb,-122.6901246,49.12022822,null,Condo,101899283,Entire home/apt,null,1195985vb,,,,,
19050275,9.6,1,Economic travel,1,1,3,56.8658,1819.71,38,null,-122.69611,49.12601,null,House,6313609,Entire home/apt,19050275,null,,,,,
28060509,8,2,Z1 ________,0.864407,4,14,159.492,16268.2,1,null,-122.72913,49.04636,null,House,10790993,Entire home/apt,28060509,null,,,,,
2532327,9.3,1,Cosy Private 2 Bedroom Suite In Nice Neighbourhood,0.77533,2,4,90.587,15943.3,20,null,-122.80319,49.15389,4793151,Guest suite,7143876,Entire home/apt,2532327,4793151,,,,,
28863102,null,1,2 Bedroom Private Guest Suite,1,2,5,105.644,1690.3,0,null,-122.71811,49.10466,null,Guest suite,11114460,Entire home/apt,28863102,null,,,,,
17889305,10,1,Ocean & Mountain View Deluxe Top Floor Suite,0.695652,2,4,247.598,11884.7,7,null,-122.88043,49.04935,1381486vb,Guest suite,8856985,Entire home/apt,17889305,1381486vb,,,,,
18025001,9.9,1,Private Guesthouse on Country Estate,0.808777,1,3,75.97,19600.2,107,null,-122.69658,49.16174,1032521vb,Guest suite,5748113,Entire home/apt,18025001,1032521vb,,,,,
32023898,10,1,Surrey Central Luxury High Rise Condo,1,1,3,104.307,4902.42,3,null,-122.85254,49.19148,7597467,Condominium,12369273,Entire home/apt,32023898,7597467,,,,,
21562357,9.8,1.5,House Ideal for parties,0.312694,3,6,369.226,37291.8,24,null,-122.83781,49.19536,null,House,7706007,Entire home/apt,21562357,null,,,,,
15380459,9.5,1,1 bedroom suite close to golfcourse,0.814516,1,3,73.1953,14785.4,30,null,-122.80076,49.12895,null,House,4695536,Entire home/apt,15380459,null,,,,,
23859341,null,3,sweet home best for 9+ Children friendly,1,4,9,279.022,837.065,1,null,-122.89941,49.18457,null,House,8899981,Entire home/apt,23859341,null,,,,,
28446682,9.5,2,"Modern and Cosy, Home away from Home",0.833333,2,4,93.8294,9382.94,4,null,-122.84687,49.19229,null,Apartment,10953348,Entire home/apt,28446682,null,,,,,
33396967,9.3,2,Cozy 2 Bedroom Condo,0.583333,2,4,159.248,2229.48,3,null,-122.8025,49.062,null,Condominium,12946573,Entire home/apt,33396967,null,,,,,
31076528,8,1,Large Comfortable 3 Bedroom Basement Suite,0.486111,3,13,140.454,4915.9,1,null,-122.72281,49.18243,null,House,11980527,Entire home/apt,31076528,null,,,,,
19988071,9.5,1,"2 Bedroom Suite with Kitchen & Laundry, 2-4 guests",0.72332,2,4,100.373,18368.2,35,null,-122.86389,49.18987,null,Guest suite,7220261,Entire home/apt,19988071,null,,,,,
23045438,0,1,Basement Unit (3 bedrooms),0.683706,3,6,185.643,39727.5,0,null,-122.81642,49.1952,1244705vb,Guest suite,8404644,Entire home/apt,23045438,1244705vb,,,,,
29063877,10,1,A cozy place for your vacation,0.45679,1,3,161.606,11958.8,11,null,-122.84589,49.18886,null,Condominium,11187641,Entire home/apt,29063877,null,,,,,
5787013,9.8,2,Entire BRIGHT & Modern apartment  :),0.864322,2,4,120.459,20719,9,null,-122.80528,49.05537,1435849vb,Apartment,7228879,Entire home/apt,5787013,1435849vb,,,,,
32846217,null,1,Basement available in Surrey BC!!,0.266667,2,4,83.5717,668.573,0,null,-122.87106,49.17511,null,House,12708428,Entire home/apt,32846217,null,,,,,
25496560,8.7,1,1 bdr suite in whiterock with private entrance,0.916335,1,4,68.4748,15749.2,67,null,-122.76908,49.02108,null,House,9626428,Entire home/apt,25496560,null,,,,,
23688691,9.9,1,Home Away From Home En-Suite,0.829493,1,2,75.0797,13514.3,56,null,-122.8411,49.16804,null,Guest suite,8821337,Entire home/apt,23688691,null,,,,,
20415003,10,2,2 bedrooms apartment suite Monthly rent,0.687075,2,4,125.037,12628.8,22,null,-122.80149,49.05548,null,Apartment,7059068,Entire home/apt,20415003,null,,,,,
24801075,9,1,Sunny Spacious Private Suite,0.334586,2,4,205.991,18333.2,12,null,-122.83522,49.03872,null,House,9323050,Entire home/apt,24801075,null,,,,,
23487465,9.8,1,*MAPLE LANE SUITE*Modern & Private 1B,0.736301,1,2,72.7193,15634.6,33,null,-122.80239,49.15587,null,Guest suite,8699105,Entire home/apt,23487465,null,,,,,
22692542,9.3,1,Cozy living 1 bedroom and flex in Langley,0.711538,1,4,121.332,26935.7,25,null,-122.68846,49.12272,null,Condominium,8375161,Entire home/apt,22692542,null,,,,,
25895794,9.3,1,"Cozy, private suite w/ own entrance",0.546099,1,4,74.9502,11542.3,16,null,-122.70222,49.12696,null,House,9819837,Entire home/apt,25895794,null,,,,,
102092053,10,1,2-Bedroom Suite in Acreage Home Close to Highway Room #1 ,0.52439,1,2,54.3038,7005.19,1,1254059vb,-122.7542428,49.19545091,null,House,102092053,Entire home/apt,null,1254059vb,,,,,
14357452,10,1,Beautiful Beachside Suite,0.4125,1,4,190.834,6297.53,5,null,-122.78184,49.01651,null,Apartment,3601164,Entire home/apt,14357452,null,,,,,
8242734,9,2,Private Sub-Penthouse Condo with lots of EXTRAS!!!,0.556098,2,4,100.161,11418.3,7,null,-122.8427394,49.19743051,null,Condominium,6050160,Entire home/apt,8242734,null,,,,,
33592008,null,2.5,Goldstone Gem,0.789474,4,13,300.588,4508.83,0,null,-122.81355,49.10933,null,House,13145136,Entire home/apt,33592008,null,,,,,
28469952,10,1,Country Sanctuary close to the City,0.533333,1,2,116.596,3731.07,3,null,-122.68047,49.14434,null,Guest suite,12715015,Entire home/apt,28469952,null,,,,,
102551783,0,4.5,Warm and Cozy ( 7 bedroom  plus 4.5 bath) Full House ,0.372549,7,16,777.354,44309.2,0,7227134,-122.8838917,49.11306118,null,House,102551783,Entire home/apt,null,7227134,,,,,
33456200,null,2,Guildford Mall Neighborhood,0.833333,2,3,110.53,2763.26,0,null,-122.78523,49.19136,null,Guest suite,12925526,Entire home/apt,33456200,null,,,,,
32478185,10,1,Cozy Clean Cloverdale Suite in Quiet Neighborhood,0.953488,1,6,90.4099,3706.81,9,null,-122.69546,49.12889,null,House,12625319,Entire home/apt,32478185,null,,,,,
17736137,9.3,1,Country Side Paradise,0.721569,2,6,101.08,18598.7,65,null,-122.79483,49.12556,null,Apartment,5709439,Entire home/apt,17736137,null,,,,,
2940578,9.3,1,Modern apartment on a greenbelt-Monthly rental,0.668919,1,4,96.8603,9589.17,95,null,-122.83092,49.10417,null,Guest suite,1134451,Entire home/apt,2940578,null,,,,,
28464644,9.8,1,South Surrey brand new condo unit,0.810345,1,4,88.5236,12481.8,26,null,-122.80293,49.05606,null,Condominium,10960678,Entire home/apt,28464644,null,,,,,
24337801,9.6,1,Cozy Garden Level Suite,0.621891,1,4,104.093,13011.6,29,null,-122.83855,49.05447,null,Guest suite,9142214,Entire home/apt,24337801,null,,,,,
